"Date (Annees)";"Population (Millions)"
1.7900000000000000e+03;3.8999999999999999e+00
1.8000000000000000e+03;5.2999999999999998e+00
1.8100000000000000e+03;7.2000000000000002e+00
1.8200000000000000e+03;9.5999999999999996e+00
1.8300000000000000e+03;1.3000000000000000e+01
1.8400000000000000e+03;1.7000000000000000e+01
1.8500000000000000e+03;2.3000000000000000e+01
1.8600000000000000e+03;3.1000000000000000e+01
1.8700000000000000e+03;3.9000000000000000e+01
1.8800000000000000e+03;5.0000000000000000e+01
1.8900000000000000e+03;6.2000000000000000e+01
1.9000000000000000e+03;7.6000000000000000e+01
1.9100000000000000e+03;9.2000000000000000e+01
1.9200000000000000e+03;1.0600000000000000e+02
1.9300000000000000e+03;1.2300000000000000e+02
1.9400000000000000e+03;1.3200000000000000e+02
1.9500000000000000e+03;1.5100000000000000e+02
1.9600000000000000e+03;1.7900000000000000e+02
1.9700000000000000e+03;2.0300000000000000e+02
1.9800000000000000e+03;2.2100000000000000e+02
1.9900000000000000e+03;2.5000000000000000e+02
2.0000000000000000e+03;2.8100000000000000e+02
